"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"796","GB","GB-W2B-040","have to","written","PTec","SUB","SUB","third",1,-1
"798","GB","GB-S1B-073","need to","spoken","btran","X","OBJ","third",-0.5,1
"799","GB","GB-S1B-037","(have) got to","spoken","bdis","OBJ","OBJ","third",-1,1
"800","GB","GB-W2C-013","have to","written","rep","OBJ","OBJ","third",-1,-1
"801","GB","GB-S2B-030","have to","spoken","btal","OBJ","OBJ","third",-1,1
"803","GB","GB-S2B-048","have to","spoken","nbtal","OBJ","OBJ","third",-1,1
"804","GB","GB-S2A-037","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"805","GB","GB-W2B-017","need to","written","PSoc","OBJ","OBJ","third",-1,-1
"807","GB","GB-W1B-006","have to","written","sl","SUB","SUB","first",1,-1
"810","GB","GB-S1B-035","need to","spoken","bdis","OBJ","OBJ","third",-1,1
"811","GB","GB-W2F-004","have to","written","nov","OBJ","OBJ","third",-1,-1
"813","GB","GB-W2A-019","have to","written","ASoc","OBJ","OBJ","third",-1,-1
"817","GB","GB-W2D-017","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"818","GB","GB-W2E-003","need to","written","ed","SUB","SUB","third",1,-1
"819","GB","GB-S2A-049","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"820","GB","GB-S2A-054","have to","spoken","dem","OBJ","OBJ","third",-1,1
"821","GB","GB-S1B-041","(have) got to","spoken","bint","OBJ","OBJ","first",-1,1
"822","GB","GB-S1B-079","have to","spoken","btran","OBJ","OBJ","third",-1,1
"824","GB","GB-S1B-047","have to","spoken","bint","OBJ","SUB","third",0,1
"825","GB","GB-W2C-016","have to","written","rep","OBJ","OBJ","third",-1,-1
"827","GB","GB-W2D-011","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"828","GB","GB-S1B-031","have to","spoken","bdis","OBJ","SUB","third",0,1
"829","GB","GB-S2B-040","have to","spoken","btal","SUB","SUB","third",1,1
"834","GB","GB-S2A-029","(have) got to","spoken","unsp","OBJ","OBJ","third",-1,1
"837","GB","GB-S2A-038","(have) got to","spoken","unsp","OBJ","OBJ","second",-1,1
"838","GB","GB-S1B-075","have to","spoken","btran","OBJ","OBJ","third",-1,1
"839","GB","GB-S2B-032","have to","spoken","btal","OBJ","OBJ","third",-1,1
"840","GB","GB-W2F-001","have to","written","nov","OBJ","SUB","third",0,-1
"841","GB","GB-S1B-022","have to","spoken","bdis","OBJ","SUB","third",0,1
"842","GB","GB-W2D-014","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"845","GB","GB-W2D-016","need to","written","SkHo","OBJ","OBJ","third",-1,-1
"846","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"847","GB","GB-S2B-047","have to","spoken","nbtal","OBJ","OBJ","third",-1,1
"849","GB","GB-S2B-037","need to","spoken","btal","SUB","SUB","third",1,1
"851","GB","GB-W2D-013","need to","written","SkHo","OBJ","OBJ","second",-1,-1
"852","GB","GB-W2C-009","have to","written","rep","SUB","SUB","third",1,-1
"853","GB","GB-S2B-010","need to","spoken","bnew","OBJ","SUB","third",0,1
"854","GB","GB-S2A-068","have to","spoken","leg","SUB","SUB","third",1,1
"856","GB","GB-S2B-007","have to","spoken","bnew","OBJ","SUB","third",0,1
"857","GB","GB-W2B-038","need to","written","PTec","OBJ","OBJ","third",-1,-1
"858","GB","GB-S1B-023","(have) got to","spoken","bdis","OBJ","OBJ","third",-1,1
"861","GB","GB-S2A-038","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"862","GB","GB-S1B-043","have to","spoken","bint","SUB","SUB","third",1,1
"863","GB","GB-S2A-029","(have) got to","spoken","unsp","OBJ","OBJ","third",-1,1
"864","GB","GB-S2A-026","have to","spoken","unsp","SUB","SUB","third",1,1
"865","GB","GB-S2B-003","have to","spoken","bnew","SUB","SUB","third",1,1
"866","GB","GB-W2C-013","have to","written","rep","SUB","SUB","third",1,-1
"868","GB","GB-W2A-014","need to","written","ASoc","SUB","SUB","third",1,-1
"869","GB","GB-S1B-048","(have) got to","spoken","bint","OBJ","SUB","second",0,1
"870","GB","GB-W2E-004","need to","written","ed","SUB","SUB","third",1,-1
"871","GB","GB-S2A-069","have to","spoken","leg","X","OBJ","third",-0.5,1
"873","GB","GB-S1B-079","have to","spoken","btran","X","X","third",0,1
"874","GB","GB-S1B-079","(have) got to","spoken","btran","SUB","X","third",0.5,1
"875","GB","GB-S2A-032","have to","spoken","unsp","OBJ","X","third",-0.5,1
"878","GB","GB-S2B-038","have to","spoken","btal","OBJ","SUB","third",0,1
"879","GB","GB-W2C-017","have to","written","rep","OBJ","OBJ","third",-1,-1
"881","GB","GB-W2B-018","have to","written","PSoc","OBJ","SUB","third",0,-1
"882","GB","GB-S2B-030","have to","spoken","btal","SUB","SUB","first",1,1
"884","GB","GB-S2A-031","need to","spoken","unsp","SUB","SUB","third",1,1
"885","GB","GB-W2A-018","need to","written","ASoc","OBJ","SUB","third",0,-1
"886","GB","GB-W2B-013","have to","written","PSoc","SUB","SUB","third",1,-1
"887","GB","GB-W2B-023","have to","written","PNat","OBJ","OBJ","third",-1,-1
"888","GB","GB-W2D-015","need to","written","SkHo","OBJ","OBJ","third",-1,-1
"889","GB","GB-S1B-027","have to","spoken","bdis","OBJ","SUB","third",0,1
"890","GB","GB-S1B-027","have to","spoken","bdis","OBJ","SUB","third",0,1
"892","GB","GB-W2F-015","have to","written","nov","SUB","SUB","third",1,-1
"894","GB","GB-S1B-078","have to","spoken","btran","OBJ","SUB","first",0,1
"895","GB","GB-S1B-026","(have) got to","spoken","bdis","OBJ","OBJ","third",-1,1
"896","GB","GB-W2D-012","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"898","GB","GB-W2B-034","have to","written","PTec","OBJ","OBJ","third",-1,-1
"900","GB","GB-W2E-008","have to","written","ed","OBJ","X","third",-0.5,-1
"901","GB","GB-S1B-029","have to","spoken","bdis","OBJ","OBJ","third",-1,1
"902","GB","GB-S1B-031","have to","spoken","bdis","OBJ","OBJ","second",-1,1
"904","GB","GB-S2B-010","have to","spoken","bnew","OBJ","OBJ","third",-1,1
"908","GB","GB-S1B-075","have to","spoken","btran","OBJ","OBJ","third",-1,1
"910","GB","GB-W2C-012","need to","written","rep","SUB","OBJ","third",0,-1
"911","GB","GB-W2C-017","have to","written","rep","SUB","OBJ","second",0,-1
"912","GB","GB-S1B-048","have to","spoken","bint","OBJ","OBJ","third",-1,1
"914","GB","GB-S1B-021","have to","spoken","bdis","X","SUB","second",0.5,1
"915","GB","GB-W2B-017","have to","written","PSoc","OBJ","OBJ","third",-1,-1
"917","GB","GB-S1B-031","have to","spoken","bdis","SUB","SUB","second",1,1
"918","GB","GB-W2F-015","have to","written","nov","X","SUB","first",0.5,-1
"919","GB","GB-S2A-034","need to","spoken","unsp","OBJ","SUB","first",0,1
"920","GB","GB-W2D-017","have to","written","SkHo","OBJ","OBJ","second",-1,-1
"925","GB","GB-S2B-013","have to","spoken","bnew","OBJ","OBJ","first",-1,1
"926","GB","GB-W2B-035","have to","written","PTec","OBJ","OBJ","third",-1,-1
"932","GB","GB-W2B-013","have to","written","PSoc","SUB","SUB","second",1,-1
"933","GB","GB-S2A-043","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"937","GB","GB-S2B-011","have to","spoken","bnew","OBJ","OBJ","third",-1,1
"941","GB","GB-W2F-015","have to","written","nov","SUB","SUB","first",1,-1
"944","GB","GB-W2C-008","have to","written","rep","OBJ","OBJ","third",-1,-1
"945","GB","GB-W1B-010","have to","written","sl","SUB","SUB","first",1,-1
"946","GB","GB-S1B-031","have to","spoken","bdis","SUB","SUB","first",1,1
"947","GB","GB-S2A-046","have to","spoken","unsp","OBJ","OBJ","first",-1,1
"949","GB","GB-W2C-014","(have) got to","written","rep","SUB","SUB","first",1,-1
"950","GB","GB-W2B-021","have to","written","PNat","OBJ","OBJ","third",-1,-1
"951","GB","GB-S2A-032","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"952","GB","GB-S1B-034","have to","spoken","bdis","X","SUB","third",0.5,1
"955","GB","GB-S2A-029","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"956","GB","GB-S2A-055","have to","spoken","dem","OBJ","OBJ","third",-1,1
"959","GB","GB-W2B-001","have to","written","PHum","OBJ","OBJ","second",-1,-1
"960","GB","GB-S1B-021","(have) got to","spoken","bdis","SUB","OBJ","second",0,1
"961","GB","GB-W2D-013","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"963","GB","GB-W1B-010","need to","written","sl","OBJ","SUB","third",0,-1
"965","GB","GB-S1B-043","have to","spoken","bint","OBJ","SUB","third",0,1
"966","GB","GB-S2A-061","have to","spoken","leg","SUB","SUB","second",1,1
"968","GB","GB-S2B-007","have to","spoken","bnew","SUB","SUB","first",1,1
"969","GB","GB-S1B-079","have to","spoken","btran","SUB","SUB","second",1,1
"972","GB","GB-W2E-007","have to","written","ed","OBJ","OBJ","third",-1,-1
"974","GB","GB-S2A-052","have to","spoken","dem","OBJ","OBJ","first",-1,1
"981","GB","GB-S2A-068","have to","spoken","leg","OBJ","OBJ","second",-1,1
"982","GB","GB-S2A-028","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"984","GB","GB-S1B-077","need to","spoken","btran","SUB","SUB","first",1,1
"985","GB","GB-S1B-077","have to","spoken","btran","SUB","SUB","first",1,1
"986","GB","GB-S2A-066","have to","spoken","leg","OBJ","OBJ","first",-1,1
"987","GB","GB-W2B-020","have to","written","PSoc","OBJ","OBJ","third",-1,-1
"990","GB","GB-S1B-024","have to","spoken","bdis","OBJ","SUB","third",0,1
"991","GB","GB-S2A-063","have to","spoken","leg","OBJ","OBJ","third",-1,1
"992","GB","GB-S1B-077","have to","spoken","btran","SUB","SUB","first",1,1
"993","GB","GB-S1B-073","have to","spoken","btran","SUB","OBJ","second",0,1
"994","GB","GB-S2A-068","have to","spoken","leg","OBJ","OBJ","second",-1,1
"997","GB","GB-W2E-010","need to","written","ed","SUB","SUB","third",1,-1
"998","GB","GB-W2A-014","need to","written","ASoc","SUB","SUB","first",1,-1
"1001","GB","GB-S1B-048","have to","spoken","bint","SUB","X","second",0.5,1
"1002","GB","GB-S2B-046","have to","spoken","nbtal","OBJ","OBJ","third",-1,1
"1005","GB","GB-S2B-007","(have) got to","spoken","bnew","SUB","SUB","first",1,1
"1007","GB","GB-S1B-027","have to","spoken","bdis","SUB","SUB","first",1,1
"1010","GB","GB-W2F-004","have to","written","nov","OBJ","SUB","first",0,-1
"1011","GB","GB-S2B-011","have to","spoken","bnew","OBJ","OBJ","third",-1,1
"1017","GB","GB-S1B-075","have to","spoken","btran","OBJ","OBJ","second",-1,1
"1021","GB","GB-S1B-030","have to","spoken","bdis","OBJ","OBJ","first",-1,1
"1023","GB","GB-S2A-028","need to","spoken","unsp","SUB","OBJ","second",0,1
"1024","GB","GB-W1B-004","have to","written","sl","OBJ","X","first",-0.5,-1
"1025","GB","GB-W2C-007","have to","written","rep","OBJ","OBJ","third",-1,-1
"1026","GB","GB-S1B-031","have to","spoken","bdis","OBJ","SUB","third",0,1
"1027","GB","GB-S2A-035","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"1032","GB","GB-S1B-025","need to","spoken","bdis","OBJ","SUB","second",0,1
"1033","GB","GB-S1B-027","have to","spoken","bdis","SUB","SUB","first",1,1
"1034","GB","GB-S1B-050","(have) got to","spoken","bint","SUB","SUB","second",1,1
"1035","GB","GB-S1B-050","(have) got to","spoken","bint","SUB","SUB","first",1,1
"1037","GB","GB-S1B-079","have to","spoken","btran","SUB","OBJ","second",0,1
"1038","GB","GB-S2A-041","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1039","GB","GB-S2A-054","need to","spoken","dem","OBJ","OBJ","second",-1,1
"1040","GB","GB-S2A-058","have to","spoken","dem","OBJ","OBJ","second",-1,1
"1041","GB","GB-S2A-058","have to","spoken","dem","OBJ","OBJ","second",-1,1
"1042","GB","GB-W2E-008","have to","written","ed","OBJ","SUB","third",0,-1
"1046","GB","GB-S1B-023","(have) got to","spoken","bdis","OBJ","OBJ","third",-1,1
"1047","GB","GB-S1B-077","have to","spoken","btran","OBJ","SUB","first",0,1
"1049","GB","GB-W2C-015","(have) got to","written","rep","SUB","SUB","first",1,-1
"1050","GB","GB-W2E-004","have to","written","ed","OBJ","OBJ","second",-1,-1
"1052","GB","GB-S1B-030","need to","spoken","bdis","OBJ","SUB","first",0,1
"1053","GB","GB-S1B-079","have to","spoken","btran","OBJ","X","third",-0.5,1
"1056","GB","GB-S2A-035","(have) got to","spoken","unsp","OBJ","OBJ","third",-1,1
"1057","GB","GB-S2B-037","have to","spoken","btal","OBJ","OBJ","third",-1,1
"1060","GB","GB-W2D-014","need to","written","SkHo","OBJ","OBJ","second",-1,-1
"1061","GB","GB-S1B-027","have to","spoken","bdis","OBJ","SUB","second",0,1
"1065","GB","GB-W2C-014","(have) got to","written","rep","SUB","SUB","third",1,-1
"1066","GB","GB-S1B-079","have to","spoken","btran","SUB","OBJ","second",0,1
"1067","GB","GB-S1B-079","have to","spoken","btran","SUB","X","third",0.5,1
"1069","GB","GB-S2A-047","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"1072","GB","GB-S2B-037","have to","spoken","btal","OBJ","OBJ","third",-1,1
"1074","GB","GB-S1B-028","have to","spoken","bdis","OBJ","SUB","third",0,1
"1076","GB","GB-W2A-014","need to","written","ASoc","SUB","SUB","first",1,-1
"1077","GB","GB-W2B-017","have to","written","PSoc","X","OBJ","third",-0.5,-1
"1080","GB","GB-S2A-035","have to","spoken","unsp","X","OBJ","third",-0.5,1
"1082","GB","GB-W2B-027","have to","written","PNat","OBJ","OBJ","third",-1,-1
"1083","GB","GB-S2B-019","need to","spoken","bnew","OBJ","OBJ","third",-1,1
"1085","GB","GB-W2E-002","have to","written","ed","OBJ","OBJ","third",-1,-1
"1086","GB","GB-W2E-007","have to","written","ed","OBJ","OBJ","third",-1,-1
"1092","GB","GB-S1B-077","need to","spoken","btran","OBJ","SUB","first",0,1
"1093","GB","GB-W2C-020","need to","written","rep","SUB","SUB","first",1,-1
"1095","GB","GB-S2B-009","(have) got to","spoken","bnew","OBJ","OBJ","third",-1,1
"1096","GB","GB-W1B-009","have to","written","sl","OBJ","OBJ","third",-1,-1
"1099","GB","GB-S1B-047","have to","spoken","bint","OBJ","OBJ","first",-1,1
"1101","GB","GB-S2A-037","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1105","GB","GB-S1B-073","(have) got to","spoken","btran","OBJ","SUB","first",0,1
"1106","GB","GB-S2A-043","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"1109","GB","GB-W2D-013","need to","written","SkHo","OBJ","SUB","second",0,-1
"1110","GB","GB-S1B-029","(have) got to","spoken","bdis","OBJ","SUB","first",0,1
"1113","GB","GB-S1B-079","have to","spoken","btran","OBJ","OBJ","third",-1,1
"1115","GB","GB-S1B-036","need to","spoken","bdis","SUB","SUB","first",1,1
"1119","GB","GB-S1B-047","have to","spoken","bint","OBJ","OBJ","second",-1,1
"1124","GB","GB-S1B-050","(have) got to","spoken","bint","SUB","SUB","first",1,1
"1127","GB","GB-S2A-043","(have) got to","spoken","unsp","OBJ","OBJ","third",-1,1
"1128","GB","GB-S2B-011","have to","spoken","bnew","SUB","OBJ","first",0,1
"1130","GB","GB-W1B-003","(have) got to","written","sl","OBJ","SUB","first",0,-1
"1131","GB","GB-W1B-007","(have) got to","written","sl","OBJ","OBJ","first",-1,-1
"1133","GB","GB-S1B-050","(have) got to","spoken","bint","SUB","SUB","first",1,1
"1134","GB","GB-W1B-015","have to","written","sl","OBJ","OBJ","first",-1,-1
"1135","GB","GB-W2F-012","have to","written","nov","SUB","SUB","first",1,-1
"1137","GB","GB-S1B-048","have to","spoken","bint","X","X","second",0,1
"1138","GB","GB-S2A-038","(have) got to","spoken","unsp","OBJ","SUB","second",0,1
"1141","GB","GB-S2A-024","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1146","GB","GB-S1B-038","(have) got to","spoken","bdis","OBJ","OBJ","second",-1,1
"1147","GB","GB-S2A-050","(have) got to","spoken","unsp","OBJ","SUB","first",0,1
"1149","GB","GB-S1B-042","have to","spoken","bint","OBJ","OBJ","first",-1,1
"1154","GB","GB-W1B-001","(have) got to","written","sl","OBJ","SUB","first",0,-1
"1156","GB","GB-S1B-049","(have) got to","spoken","bint","OBJ","OBJ","third",-1,1
"1157","GB","GB-W1B-004","need to","written","sl","OBJ","SUB","first",0,-1
"1158","GB","GB-W2F-002","have to","written","nov","SUB","OBJ","first",0,-1
"1159","GB","GB-W2C-018","have to","written","rep","SUB","OBJ","third",0,-1
"1161","GB","GB-S1B-078","need to","spoken","btran","OBJ","OBJ","second",-1,1
"1163","GB","GB-S2A-046","have to","spoken","unsp","OBJ","OBJ","first",-1,1
"1165","GB","GB-W2F-003","have to","written","nov","X","SUB","first",0.5,-1
"1166","GB","GB-S1B-047","have to","spoken","bint","SUB","SUB","first",1,1
"1167","GB","GB-W2E-009","need to","written","ed","OBJ","OBJ","third",-1,-1
"1168","GB","GB-S2A-037","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"1170","GB","GB-W1B-009","have to","written","sl","OBJ","OBJ","second",-1,-1
"1175","GB","GB-S1B-027","have to","spoken","bdis","X","SUB","third",0.5,1
"1176","GB","GB-S2A-023","need to","spoken","unsp","OBJ","OBJ","third",-1,1
"1183","GB","GB-S1B-080","have to","spoken","btran","SUB","OBJ","second",0,1
"1185","GB","GB-W2C-013","need to","written","rep","OBJ","OBJ","third",-1,-1
"1186","GB","GB-S2A-037","have to","spoken","unsp","SUB","OBJ","third",0,1
"1189","GB","GB-W1B-003","have to","written","sl","OBJ","OBJ","third",-1,-1
"1190","GB","GB-S2A-047","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1192","GB","GB-W2F-016","need to","written","nov","OBJ","OBJ","third",-1,-1
"1193","GB","GB-W2F-007","need to","written","nov","OBJ","OBJ","third",-1,-1
"1195","GB","GB-S1B-075","have to","spoken","btran","SUB","OBJ","first",0,1
"1196","GB","GB-S1B-071","(have) got to","spoken","btran","SUB","OBJ","second",0,1
"1200","GB","GB-S1B-031","have to","spoken","bdis","SUB","OBJ","second",0,1
"1201","GB","GB-S1B-033","have to","spoken","bdis","SUB","SUB","third",1,1
"1203","GB","GB-S1B-036","(have) got to","spoken","bdis","SUB","OBJ","second",0,1
"1204","GB","GB-S1B-078","have to","spoken","btran","SUB","SUB","first",1,1
"1205","GB","GB-S1B-045","have to","spoken","bint","X","SUB","second",0.5,1
"1207","GB","GB-S1B-047","need to","spoken","bint","SUB","OBJ","first",0,1
"1208","GB","GB-S2A-058","have to","spoken","dem","OBJ","OBJ","second",-1,1
"1209","GB","GB-S2B-031","have to","spoken","btal","OBJ","OBJ","third",-1,1
"1213","GB","GB-W2D-017","have to","written","SkHo","OBJ","OBJ","third",-1,-1
"1214","GB","GB-S2A-052","have to","spoken","dem","SUB","OBJ","first",0,1
"1215","GB","GB-W2C-009","need to","written","rep","SUB","SUB","first",1,-1
"1216","GB","GB-W2B-004","(have) got to","written","PHum","OBJ","OBJ","second",-1,-1
"1217","GB","GB-W2C-014","have to","written","rep","SUB","SUB","first",1,-1
"1221","GB","GB-W2F-002","have to","written","nov","SUB","SUB","first",1,-1
"1222","GB","GB-W1B-007","have to","written","sl","OBJ","OBJ","second",-1,-1
"1229","GB","GB-S2B-025","have to","spoken","btal","OBJ","OBJ","third",-1,1
"1230","GB","GB-S1B-072","have to","spoken","btran","SUB","SUB","first",1,1
"1231","GB","GB-S1B-026","have to","spoken","bdis","OBJ","OBJ","third",-1,1
"1232","GB","GB-S2A-027","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1236","GB","GB-S2A-053","need to","spoken","dem","OBJ","SUB","first",0,1
"1238","GB","GB-S1B-080","need to","spoken","btran","SUB","SUB","first",1,1
"1239","GB","GB-S2A-028","need to","spoken","unsp","OBJ","SUB","second",0,1
"1240","GB","GB-S2A-028","need to","spoken","unsp","OBJ","OBJ","second",-1,1
"1241","GB","GB-S2B-030","need to","spoken","btal","SUB","SUB","third",1,1
"1242","GB","GB-W2A-016","need to","written","ASoc","OBJ","OBJ","third",-1,-1
"1243","GB","GB-S2A-028","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1244","GB","GB-S2A-028","have to","spoken","unsp","OBJ","OBJ","second",-1,1
"1245","GB","GB-S2A-053","have to","spoken","dem","OBJ","OBJ","first",-1,1
"1246","GB","GB-S1B-080","need to","spoken","btran","X","OBJ","first",-0.5,1
"1247","GB","GB-S1B-078","need to","spoken","btran","OBJ","SUB","second",0,1
"1252","GB","GB-W1B-001","have to","written","sl","SUB","SUB","first",1,-1
"1253","GB","GB-W2E-007","have to","written","ed","SUB","SUB","third",1,-1
"1256","GB","GB-S1B-041","(have) got to","spoken","bint","SUB","SUB","second",1,1
"1257","GB","GB-S2A-035","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"1268","GB","GB-S2A-030","have to","spoken","unsp","SUB","OBJ","first",0,1
"1269","GB","GB-S1B-035","have to","spoken","bdis","OBJ","OBJ","first",-1,1
"1270","GB","GB-S2A-038","(have) got to","spoken","unsp","OBJ","OBJ","second",-1,1
"1271","GB","GB-W2B-013","have to","written","PSoc","OBJ","OBJ","third",-1,-1
"1272","GB","GB-W2C-011","(have) got to","written","rep","OBJ","OBJ","third",-1,-1
"1276","GB","GB-W2B-013","have to","written","PSoc","OBJ","OBJ","third",-1,-1
"1277","GB","GB-W2B-013","have to","written","PSoc","OBJ","OBJ","third",-1,-1
"1278","GB","GB-W2B-022","have to","written","PNat","OBJ","OBJ","second",-1,-1
"1279","GB","GB-S1B-037","have to","spoken","bdis","OBJ","OBJ","third",-1,1
"1282","GB","GB-S1B-049","(have) got to","spoken","bint","OBJ","SUB","first",0,1
"1283","GB","GB-S2A-022","have to","spoken","unsp","OBJ","SUB","first",0,1
"1284","GB","GB-S2A-042","(have) got to","spoken","unsp","X","SUB","second",0.5,1
"1285","GB","GB-S2A-058","need to","spoken","dem","OBJ","SUB","first",0,1
"1286","GB","GB-S2A-059","need to","spoken","dem","SUB","SUB","second",1,1
"1287","GB","GB-W2B-026","have to","written","PNat","OBJ","SUB","second",0,-1
"1291","GB","GB-W1B-003","have to","written","sl","X","SUB","second",0.5,-1
"1292","GB","GB-W1B-003","have to","written","sl","OBJ","SUB","second",0,-1
"1293","GB","GB-W2B-020","need to","written","PSoc","OBJ","OBJ","third",-1,-1
"1296","GB","GB-S1B-073","have to","spoken","btran","OBJ","OBJ","third",-1,1
"1297","GB","GB-S2B-007","have to","spoken","bnew","SUB","SUB","first",1,1
"1299","GB","GB-S1B-036","have to","spoken","bdis","OBJ","SUB","third",0,1
"1300","GB","GB-S2A-033","need to","spoken","unsp","SUB","SUB","third",1,1
"1302","GB","GB-W2F-008","have to","written","nov","OBJ","SUB","first",0,-1
"1303","GB","GB-S2A-043","have to","spoken","unsp","OBJ","OBJ","third",-1,1
"1304","GB","GB-S1B-075","(have) got to","spoken","btran","SUB","SUB","first",1,1
"1305","GB","GB-S2B-002","need to","spoken","bnew","OBJ","OBJ","third",-1,1
"1308","GB","GB-W1B-004","(have) got to","written","sl","SUB","SUB","first",1,-1
"1310","GB","GB-W2B-017","have to","written","PSoc","OBJ","OBJ","third",-1,-1
"1312","GB","GB-S2B-010","have to","spoken","bnew","SUB","SUB","second",1,1
"1314","GB","GB-S2A-053","have to","spoken","dem","OBJ","OBJ","first",-1,1
"1315","GB","GB-S2B-011","have to","spoken","bnew","OBJ","OBJ","third",-1,1
"1316","GB","GB-W1B-012","have to","written","sl","OBJ","OBJ","first",-1,-1
"1319","GB","GB-W1B-010","have to","written","sl","OBJ","SUB","first",0,-1
"1322","GB","GB-S1B-043","have to","spoken","bint","OBJ","OBJ","third",-1,1
"1326","GB","GB-W1B-002","have to","written","sl","OBJ","OBJ","second",-1,-1
"1331","GB","GB-S2B-030","have to","spoken","btal","OBJ","OBJ","first",-1,1
"1332","GB","GB-W1B-002","have to","written","sl","OBJ","OBJ","second",-1,-1
"1336","GB","GB-S2B-019","have to","spoken","bnew","OBJ","OBJ","third",-1,1
"1340","GB","GB-S1B-071","have to","spoken","btran","X","SUB","first",0.5,1
"1341","GB","GB-S1B-034","(have) got to","spoken","bdis","SUB","SUB","second",1,1
"1343","GB","GB-S2B-044","have to","spoken","nbtal","SUB","OBJ","third",0,1
"1345","GB","GB-S2A-056","have to","spoken","dem","OBJ","OBJ","first",-1,1
"1346","GB","GB-W2C-011","(have) got to","written","rep","OBJ","OBJ","first",-1,-1
"1348","GB","GB-S2B-006","(have) got to","spoken","bnew","X","OBJ","third",-0.5,1
"1352","GB","GB-W2A-014","have to","written","ASoc","OBJ","OBJ","third",-1,-1
"1353","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1354","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1355","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1356","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1357","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1358","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1362","GB","GB-S1B-077","need to","spoken","btran","OBJ","OBJ","first",-1,1
"1364","GB","GB-S1B-079","have to","spoken","btran","OBJ","OBJ","second",-1,1
"1368","GB","GB-S2B-026","have to","spoken","btal","OBJ","OBJ","third",-1,1
"1372","GB","GB-S1B-026","have to","spoken","bdis","OBJ","OBJ","second",-1,1
"1373","GB","GB-S2B-048","have to","spoken","nbtal","X","OBJ","third",-0.5,1
"1374","GB","GB-S2A-031","have to","spoken","unsp","SUB","SUB","first",1,1
"1375","GB","GB-S2A-031","have to","spoken","unsp","SUB","SUB","first",1,1
"1377","GB","GB-S2A-023","have to","spoken","unsp","SUB","SUB","first",1,1
"1381","GB","GB-W2B-017","need to","written","PSoc","SUB","OBJ","third",0,-1
"1386","GB","GB-S2A-055","have to","spoken","dem","OBJ","OBJ","third",-1,1
"1387","GB","GB-S2A-068","have to","spoken","leg","X","OBJ","second",-0.5,1
"1388","GB","GB-S2B-028","have to","spoken","btal","OBJ","OBJ","first",-1,1
"1390","GB","GB-S1B-030","have to","spoken","bdis","SUB","SUB","second",1,1
"1391","GB","GB-S2B-031","need to","spoken","btal","SUB","SUB","first",1,1
"1392","GB","GB-S2B-020","need to","spoken","bnew","SUB","SUB","second",1,1
"1398","GB","GB-S2B-026","have to","spoken","btal","OBJ","SUB","third",0,1
"1399","GB","GB-S1B-045","have to","spoken","bint","X","SUB","second",0.5,1
"1400","GB","GB-W2F-015","have to","written","nov","X","SUB","first",0.5,-1
"1402","GB","GB-S2A-055","have to","spoken","dem","OBJ","OBJ","third",-1,1
"1404","GB","GB-S1B-033","need to","spoken","bdis","SUB","SUB","first",1,1
"1407","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1409","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","third",-1,1
"1411","GB","GB-W1B-005","have to","written","sl","SUB","SUB","first",1,-1
"1413","GB","GB-S1B-045","have to","spoken","bint","SUB","SUB","first",1,1
"1414","GB","GB-S2B-047","need to","spoken","nbtal","SUB","SUB","first",1,1
"1416","GB","GB-S1B-024","have to","spoken","bdis","SUB","SUB","first",1,1
"1417","GB","GB-S2B-050","have to","spoken","nbtal","SUB","SUB","first",1,1
"1419","GB","GB-W1B-009","have to","written","sl","SUB","SUB","first",1,-1
