"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"312","GB","GB-W2D-019","must","written","SkHo","OBJ","OBJ","third",-1,-1
"316","GB","GB-S1B-025","must","spoken","bdis","OBJ","OBJ","second",-1,1
"317","GB","GB-S1B-025","must","spoken","bdis","OBJ","OBJ","second",-1,1
"319","GB","GB-S2A-039","must","spoken","unsp","X","SUB","third",0.5,1
"322","GB","GB-W2E-005","must","written","ed","SUB","SUB","third",1,-1
"323","GB","GB-S2B-047","must","spoken","nbtal","OBJ","SUB","third",0,1
"324","GB","GB-W2E-003","must","written","ed","SUB","SUB","third",1,-1
"327","GB","GB-S2B-030","must","spoken","btal","SUB","SUB","first",1,1
"328","GB","GB-W2D-014","must","written","SkHo","OBJ","OBJ","third",-1,-1
"329","GB","GB-S2B-024","must","spoken","btal","OBJ","OBJ","second",-1,1
"330","GB","GB-S2A-039","must","spoken","unsp","SUB","OBJ","first",0,1
"334","GB","GB-W2E-002","must","written","ed","SUB","SUB","third",1,-1
"335","GB","GB-S2B-032","must","spoken","btal","OBJ","SUB","first",0,1
"339","GB","GB-S2B-019","must","spoken","bnew","OBJ","SUB","third",0,1
"340","GB","GB-W2E-007","must","written","ed","SUB","SUB","first",1,-1
"344","GB","GB-W2E-004","must","written","ed","SUB","SUB","third",1,-1
"346","GB","GB-S2B-012","must","spoken","bnew","SUB","SUB","third",1,1
"349","GB","GB-W2B-035","must","written","PTec","OBJ","OBJ","third",-1,-1
"353","GB","GB-S1B-033","must","spoken","bdis","SUB","SUB","first",1,1
"354","GB","GB-W2B-018","must","written","PSoc","OBJ","OBJ","third",-1,-1
"355","GB","GB-W2E-004","must","written","ed","SUB","SUB","third",1,-1
"356","GB","GB-W2B-035","must","written","PTec","X","OBJ","third",-0.5,-1
"357","GB","GB-W2E-004","must","written","ed","SUB","SUB","third",1,-1
"360","GB","GB-W1B-009","must","written","sl","SUB","SUB","first",1,-1
"362","GB","GB-W2F-011","must","written","nov","SUB","SUB","first",1,-1
"363","GB","GB-S2B-030","must","spoken","btal","SUB","SUB","first",1,1
"365","GB","GB-W2F-008","must","written","nov","SUB","SUB","third",1,-1
"366","GB","GB-W2B-036","must","written","PTec","OBJ","OBJ","third",-1,-1
"370","GB","GB-S2B-014","must","spoken","bnew","SUB","SUB","first",1,1
"371","GB","GB-W2B-010","must","written","PHum","SUB","SUB","first",1,-1
"374","GB","GB-S1B-032","must","spoken","bdis","SUB","SUB","first",1,1
"375","GB","GB-S1B-040","must","spoken","bdis","SUB","SUB","first",1,1
"376","GB","GB-S2A-063","must","spoken","leg","SUB","SUB","first",1,1
"378","GB","GB-S2B-032","must","spoken","btal","SUB","SUB","first",1,1
"379","GB","GB-S2A-055","must","spoken","dem","SUB","SUB","first",1,1
"380","GB","GB-S2A-026","must","spoken","unsp","SUB","SUB","first",1,1
"383","GB","GB-W2E-009","must","written","ed","SUB","OBJ","third",0,-1
"386","GB","GB-W2C-006","must","written","rep","SUB","SUB","third",1,-1
